Ministerium,Datum,Ort,Anlass,Begleitung
BMJV,19.02.2014,Frankreich,ohne Externe,
BMJV,24.-25.02.2014,Israel,ohne Externe,
BMJV,05.06.2014,Luxemburg,ohne Externe,
BMJV,27.07.2014,Frankreich,ohne Externe,
BMJV,10.10.2014,Luxemburg,ohne Externe,
BMJV,16.-21.11.2014,USA,ohne Externe,Hochschulprofessuren bei zwei Programmpunkten
BMJV,03.-05.12.2014,Belgien,ohne Externe,
BMJV,29.-30.01.2015,Lettland,ohne Externe,
BMJV,12.-13.03.2015,Belgien,ohne Externe,
BMJV,27.04.2014,Polen,ohne Externe,
BMJV,12.-13.05.2015,Israel,ohne Externe,
BMJV,30.05.2015,Frankreich,ohne Externe,
BMJV,04.06.2015,Schweden,ohne Externe,
BMJV,15.06.2015,Luxemburg,ohne Externe,
BMJV,04.-11.07.2015,China,ohne Externe,
BMJV,26.-27.07.2015,Frankreich,ohne Externe,
BMJV,08.-09.10.2015,Luxemburg,ohne Externe,
BMJV,20.11.2015,Belgien,ohne Externe,
BMJV,03.12.2015,Belgien,ohne Externe,
BMJV,26.01.2016,Niederlande,ohne Externe,
BMJV,28.01.2016,Frankreich,ohne Externe,
BMJV,11.03.2016,Belgien,ohne Externe,
BMJV,12.05.2106,England,ohne Externe,
BMJV,09.06.2016,Luxemburg,ohne Externe,
BMJV,11.-14.06.2016,China,ohne Externe,
BKAmt,5.-8.7.2014,China,,
BKAmt,28.-0.10.2015,China,,
BKAmt,12.-14.6.2016,China,,
BKAmt,8.-10.3.2015,Japan,,
BKAmt,4.-6.10.2015,Indien,,
BMWi,21.-24.04.2014,China,,
BMWi,21.-24.10.2014,USA,,
BMWi,16.-17.11.2014,Serbien,,
BMWi,18.-22.11.2014,Vietnam,,
BMWi,07.-10.03.2015,"Saudi-Arabien, Vereinigte Arabische Emirate, Katar",,
BMWi,13.-15.07.2015,China,,
BMWi,19.-21.07.2015,Iran,,
BMWi,06.-09.01.2016,Kuba,,
BMWi,16.-19.04.2016,"Ägypten, Marokko",,
BMWi,30.06.-01.07.2016,Griechenland,,
AA,17.12.2013,Königreich Belgien,Konferenz,
AA,18.12.2013,Französische Republik,Arbeitsbesuch,
AA,19.12.2013,Republik Polen,Arbeitsbesuch,
AA,06.-07.01.14,Königreich Belgien,Konferenz,
AA,09.-10.01.14,Hellenische Republik,Arbeitsbesuch,
AA,12.-13.01.14,Französische Republik/Staat Israel/Palästinensische Gebiete,Konferenz,
AA,20.01.2014,Königreich Belgien,Konferenz,
AA,21.01.2014,Französische Republik,Arbeitsbesuch,
AA,22.-23.01.14,Schweizerische Eidgenossenschaft,Konferenz,
AA,03.02.2014,Vereinigtes Königreich Großbritannien und Nordirland,Arbeitsbesuch,
AA,07.02.2014,Italienische Republik,Arbeitsbesuch,
AA,08.-09.02.14,Islamische Republik Afghanistan,Arbeitsbesuch,
AA,10.02.2014,Königreich Belgien,Konferenz,
AA,13.-14.02.14,Russische Föderation,Arbeitsbesuch,
AA,19.02.2014,Französische Republik,Konferenz,
AA,20.-21.02.14,Ukraine,Konferenz,
AA,23.-24.02.14,Königreich Spanien,Konferenz,
AA,24.-25.02.14,Staat Israel,Regierungskonsultationen,
AA,27.02.-01.03.14,Vereinigte Staaten von Amerika,Arbeitsbesuch,
AA,03.-04.03.14,Königreich Belgien/Schweizerische Eidgenossenschaft,Konferenz,
AA,05.03.2014,Französische Republik,Konferenz,
AA,06.03.2014,Italienische Republik,Konferenz,
AA,10.-11.03.14,Republik Estland,Arbeitsbesuch,
AA,11.03.2014,Republik Lettland,Arbeitsbesuch,
AA,11.03.2014,Republik Litauen,Arbeitsbesuch,
AA,13.03.2014,Ungarn,Konferenz,
AA,16.-17.03.14,Königreich Belgien,Konferenz,
AA,22.03.2014,Ukraine,Arbeitsbesuch,
AA,23.-25.03.14,Demokratische Bundesrepublik Äthiopien,Arbeitsbesuch,
AA,25.03.2014,Vereinigte Republik Tansania,Arbeitsbesuch,
AA,25.-27.03.14,Republik Angola,Arbeitsbesuch,
AA,01.-02.04.14,Königreich Belgien,Konferenz,
AA,04.-05.04.14,Hellenische Republik,Konferenz,
AA,12.04.2014,Japan,Konferenz,
AA,14.-15.04.14,Königreich Belgien,Konferenz,
AA,23.04.2014,Republik Moldau,Arbeitsbesuch,
AA,23.-24.04.14,Georgien,Arbeitsbesuch,
AA,24.-25.04.14,Tunesische Republik,Arbeitsbesuch,
AA,25.04.2014,Französische Republik,Arbeitsbesuch,
AA,28.-29.04.14,Königreich Norwegen,Arbeitsbesuch,
AA,29.04.2014,Königreich Dänemark,Arbeitsbesuch,
AA,02.05.2014,Schweizerische Eidgenossenschaft,Arbeitsbesuch,
AA,06.-07.05.14,Republik Österreich,Konferenz,
AA,08.05.2014,Italienische Republik,Konferenz,
AA,12.05.2014,Königreich Belgien,Konferenz,
AA,13.-14.05.14,Ukraine/Französische Republik,Arbeitsbesuch,
AA,15.05.2014,Vereinigtes Königreich Großbritannien und Nordirland,Konferenz,
AA,26.-27.05.14,Bosnien und Herzegowina,Arbeitsbesuch,
AA,29.05.-01.06.14,Libanesische Republik/Vereinigte Arabische Emirate/Staat Katar,Arbeitsbesuch,
AA,10.06.2014,Russische Föderation,Konferenz,
AA,16.06.2014,Königreich der Niederlande/Republik Estland,Konferenz,
AA,19.06.2014,Republik Österreich,Arbeitsbesuch,
AA,20.06.2014,Republik Türkei,Konferenz,
AA,23.-25.06.14,Großherzogtum Luxemburg/Ukraine/Königreich Belgien,Konferenz,
AA,29.06.2014,Italienische Republik,Arbeitsbesuch,
AA,05.-07.07.14,Mongolei,Arbeitsbesuch,
AA,13.07.2014,Republik Österreich,Konferenz,
AA,14.-15.07.14,Haschemitisches Königreich Jordanien/Staat Israel/Palästinensische Gebiete,Arbeitsbesuch,
AA,17.-20.07.14,Vereinigte Mexikanische Staaten,Arbeitsbesuch,
AA,22.-23.07.14,Königreich Belgien/Republik Polen,Konferenz,
AA,26.07.2014,Französische Republik,Konferenz,
AA,29.07.2014,Königreich Belgien,Konferenz,
AA,15.08.2014,Königreich Belgien,Konferenz,
AA,15.-17.08.14,Republik Irak,Arbeitsbesuch,
AA,27.08.2014,Tschechische Republik,Arbeitsbesuch,
AA,29.-30.08.14,Französische Republik/Italienische Republik,Konferenz,
AA,02.09.2014,Republik Polen,Arbeitsbesuch,
AA,04.-05.09.14,Vereinigtes Königreich Großbritannien und Nordirland,Konferenz,
AA,05.-08.09.14,Islamische Republik Afghanistan/Republik Indien,Arbeitsbesuch,
AA,15.09.2014,Französische Republik,Konferenz,
AA,19.09.2014,Vereinigte Staaten von Amerika,Konferenz,
AA,23.-27.09.14,Vereinigte Staaten von Amerika,Konferenz,
AA,29.09.2014,Königreich Belgien,Konferenz,
AA,30.09.2014,Tschechische Republik,Arbeitsbesuch,
AA,02.-03.10.14,Französische Republik,Arbeitsbesuch,
AA,11.10.2014,Republik Polen,Arbeitsbesuch,
AA,12.10.2014,Königreich Saudi-Arabien,Konferenz,
AA,19.-20.10.14,Großherzogtum Luxemburg,Konferenz,
AA,22.-23.10.14,Republik Aserbaidschan/Republik Armenien,Arbeitsbesuch,
AA,24.10.2014,Französische Republik,Konferenz,
AA,26.-27.10.14,Bundesrepublik Nigeria,Arbeitsbesuch,
AA,30.10.-03.11.14,Republik Korea/Republik Indonesien,Arbeitsbesuch,
AA,09.-10.11.14,Kasachstan,Arbeitsbesuch,
AA,15.-18.11.14,Staat Israel/Palästinensische Gebiete/Ukraine/Russische Föderation,Arbeitsbesuch,
AA,19.-21.11.14,Republik Südafrika,Arbeitsbesuch,
AA,23.-25.11.14,Österreich,Konferenz,
AA,28.11.2014,Italienische Republik,Konferenz,
AA,01.-4.12.14,Königreich Dänemark/Königreich Belgien/Schweizerische Eidgenossenschaft,Konferenz,
AA,08.-09.12.14,Georgien/Russische Föderation,Arbeitsbesuch,
AA,15.12.2014,Königreich Belgien/Französische Republik,Konferenz,
AA,16.12.2014,Königreich Belgien,Konferenz,
AA,19.12.2014,Ukraine,Arbeitsbesuch,
AA,11.01.2015,Französische Republik,Konferenz,
AA,16.01.2015,Bosnien und Herzegowina,Arbeitsbesuch,
AA,19.01.2015,Königreich Belgien,Konferenz,
AA,22.-25.01.15,Königreich Marokko/Tunesische Republik/Demokratische Volksrepublik Algerien,Arbeitsbesuch,
AA,29.01.2015,Königreich Belgien,Konferenz,
AA,01.02.2015,Französische Republik,Konferenz,
AA,05.02.2015,Republik Lettland/Republik Polen,Arbeitsbesuch,
AA,09.02.2015,Königreich Belgien,Konferenz,
AA,11.02.2015,Ukraine,Konferenz,
AA,12.-17.02.15,Föderative Republik Brasilien/Republik Peru/Republik Kolumbien,Arbeitsbesuch,
AA,18.-22.02.15,Demokratische Republik Kongo/Ruanda/Republik Kenia,Arbeitsbesuch,
AA,24.02.2015,Französische Republik,Konferenz,
AA,03.03.2015,Schweizerische Eidgenossenschaft,Konferenz,
AA,06.-07.03.15,Republik Lettland/Französische Republik,Konferenz,
AA,09.-10.03.15,Rumänien/Republik Bulgarien,Arbeitsbesuch,
AA,11.-14.03.15,Vereinigte Staaten von Amerika,Arbeitsbesuch,
AA,15.-16.03.15,Königreich Belgien,Konferenz,
AA,21.03.2015,Vereinigtes Königreich Großbritannien und Nordirland,Konferenz,
AA,23.03.2015,Slowakische Republik,Konferenz,
AA,24.03.2015,Französische Republik,Konferenz,
AA,28.03.-02.04.15,Schweizerische Eidgenossenschaft,Konferenz,
AA,03.04.2015,Republik Polen,Konferenz,
AA,13.04.2015,Königreich Spanien,Konferenz,
AA,16.-17.04.15,Republik Finnland/Republik Litauen/Republik Estland/Republik Lettland,Arbeitsbesuch,
AA,20.04.2015,Großherzogtum Luxemburg,Konferenz,
AA,27.04.2015,Republik Polen,Regierungskonsultationen,
AA,28.04.2015,Republik Serbien/Republik Kosovo,Arbeitsbesuch,
AA,30.04.-01.05.15,Republik Kroatien/Republik Slowenien,Arbeitsbesuch,
AA,03.-04.05.15,Arabische Republik Ägypten,Arbeitsbesuch,
AA,07.05.2015,Russische Föderation,Arbeitsbesuch,
AA,11.05.2015,Französische Republik,Arbeitsbesuch,
AA,13.-14.05.15,Republik Türkei,Konferenz,
AA,15.-16.05.15,Libanesische Republik/Haschemitisches Königreich Jordanien,Arbeitsbesuch,
AA,18.05.2015,Königreich Belgien,Konferenz,
AA,27.-28.05.15,Portugiesische Republik,Arbeitsbesuch,
AA,29.-1.06.15,Ukraine/Staat Israel/Palästinensische Gebiete,Arbeitsbesuch,
AA,02.06.2015,Französische Republik,Konferenz,
AA,09.06.2015,Königreich Belgien,Konferenz,
AA,22.06.2015,Großherzogtum Luxemburg,Konferenz,
AA,23.06.2015,Französische Republik,Konferenz,
AA,30.06.-02.07.15,Republik Österreich,Konferenz,
AA,05.-07.07.15,Republik Österreich,Konferenz,
AA,08.-09.07.15,Republik Österreich,Konferenz,
AA,10.-14.07.15,Republik Österreich,Konferenz,
AA,15.-18.07.15,Kuba,Konferenz,
AA,20.07.2015,Königreich Belgien,Konferenz,
AA,16.-17.08.15,Schweizerische Eidgenossenschaft,Konferenz,
AA,19.-20.08.15,Föderative Republik Brasilien,Regierungskonsultationen,
AA,27.08.2015,Republik Österreich,Konferenz,
AA,29.-31.08.15,Islamische Republik Pakistan/Islamische Republik Afghanistan,Arbeitsbesuch,
AA,04.-05.09.15,Großherzogtum Luxemburg,Konferenz,
AA,11.09.2015,Tschechische Republik,Konferenz,
AA,18.09.2015,Republik Türkei,Arbeitsbesuch,
AA,20.-23.09.15,Volksrepublik Bangladesch/Demokratische Sozialistische Republik Sri Lanka,Arbeitsbesuch,
AA,24.09.2015,Französische Republik,Konferenz,
AA,28.09.-03.10.15,Vereinigte Staaten von Amerika,Konferenz,
AA,04.-05.10.15,Republik Indien,Regierungskonsultationen,
AA,05.-06.10.15,Staat Kuwait,Arbeitsbesuch,
AA,08.10.2015,Großherzogtum Luxemburg,Konferenz,
AA,08.-09.10.15,Königreich Spanien,Arbeitsbesuch,
AA,12.10.2015,Großherzogtum Luxemburg,Konferenz,
AA,16.-18.10.15,Islamische Republik Iran,Arbeitsbesuch,
